cost_bp,model,mean_net_pnl_bp,daily_sharpe_net,mean_turnover
0,regime_factor_lstm,5.756405219071887,0.5507347217579458,1.7207088939940929
0,ram_fingan_v2,4.52565279521056,0.4540759540395628,2.0548933377092222
0,ram_fingan_v3,3.5936893666166934,0.37384682346328,1.782600918936659
0,baseline_lstm_xonly,3.128487174576671,0.302690820204333,1.8921890383984248
0,regime_econ_lstm_v4,0.9021647712887222,0.2909404143922361,0.4356581389352343
0,naive_ram_lstm,2.3996083192584505,0.2309846931932513,1.7395799146701674
1,regime_factor_lstm,4.035696325077795,0.3866310001022545,1.7207088939940929
1,ram_fingan_v2,2.470759457501337,0.2482043030738925,2.0548933377092222
1,ram_fingan_v3,1.8110884476800344,0.188694200644458,1.782600918936659
1,regime_econ_lstm_v4,0.4665066323534877,0.1505998866445734,0.4356581389352343
1,baseline_lstm_xonly,1.2362981361782457,0.1197710207686767,1.8921890383984248
1,naive_ram_lstm,0.6600284045882827,0.0636186248315812,1.7395799146701674
2,regime_factor_lstm,2.314987431083702,0.2220633791759568,1.7207088939940929
2,ram_fingan_v2,0.4158661197921153,0.0418248991299502,2.0548933377092222
2,regime_econ_lstm_v4,0.0308484934182533,0.0099685819416264,0.4356581389352343
2,ram_fingan_v3,0.0284875287433753,0.0029724495044591,1.782600918936659
2,baseline_lstm_xonly,-0.6558909022201791,-0.0636188132729952,1.8921890383984248
2,naive_ram_lstm,-1.0795515100818849,-0.1041858996458425,1.7395799146701674
5,regime_factor_lstm,-2.847139250898576,-0.2740076612112111,1.7207088939940929
5,regime_econ_lstm_v4,-1.2761259233874496,-0.4135172283766615,0.4356581389352343
5,ram_fingan_v3,-5.319315228066602,-0.5572963036118769,1.782600918936659
5,ram_fingan_v2,-5.748813893335552,-0.5799504689495579,2.0548933377092222
5,naive_ram_lstm,-6.298291254092388,-0.609829190158192,1.7395799146701674
5,baseline_lstm_xonly,-6.332458017415453,-0.6161271517237904,1.8921890383984248
10,regime_factor_lstm,-11.450683720869035,-1.1061115061338802,1.7207088939940929
10,regime_econ_lstm_v4,-3.4544166180636213,-1.123690638980222,0.4356581389352343
10,naive_ram_lstm,-14.996190827443222,-1.4575168180960911,1.7395799146701674
10,ram_fingan_v3,-14.232319822749895,-1.49947543282618,1.782600918936659
10,baseline_lstm_xonly,-15.793403209407575,-1.541794793301806,1.8921890383984248
10,ram_fingan_v2,-16.02328058188166,-1.6225013216828854,2.0548933377092222
